name;timestamp;arousal;valence;liking
'Devel_DE_03';0.000000;0.053762;-0.000874;0.016568
'Devel_DE_03';0.100000;0.043732;0.004391;-0.003491
'Devel_DE_03';0.200000;0.038068;0.004881;-0.007664
'Devel_DE_03';0.300000;0.027700;0.005083;-0.003384
'Devel_DE_03';0.400000;0.021604;0.003065;0.005857
'Devel_DE_03';0.500000;0.013637;-0.000517;0.011704
'Devel_DE_03';0.600000;0.004957;-0.005075;0.016561
'Devel_DE_03';0.700000;0.002637;-0.012103;0.020265
'Devel_DE_03';0.800000;0.006000;-0.016692;0.021452
'Devel_DE_03';0.900000;0.002353;-0.018910;0.016645
'Devel_DE_03';1.000000;-0.001494;-0.019514;0.013399
'Devel_DE_03';1.100000;0.006522;-0.019248;0.010705
'Devel_DE_03';1.200000;0.023096;-0.019195;0.012006
'Devel_DE_03';1.300000;0.043059;-0.014993;0.015348
'Devel_DE_03';1.400000;0.060017;-0.007254;0.018476
'Devel_DE_03';1.500000;0.059790;0.007196;0.018204
'Devel_DE_03';1.600000;0.052305;0.007913;0.012603
'Devel_DE_03';1.700000;0.032826;-0.001436;-0.005781
'Devel_DE_03';1.800000;0.037124;-0.025340;-0.037277
'Devel_DE_03';1.900000;0.039739;0.008050;-0.021896
'Devel_DE_03';2.000000;0.047790;0.008832;-0.017085
'Devel_DE_03';2.100000;0.047744;0.007627;-0.010982
'Devel_DE_03';2.200000;0.042319;0.007688;-0.007726
'Devel_DE_03';2.300000;0.038486;0.008944;-0.002756
'Devel_DE_03';2.400000;0.035315;0.011563;0.001347
'Devel_DE_03';2.500000;0.032737;0.018007;0.006880
'Devel_DE_03';2.600000;0.036566;0.026630;0.010346
'Devel_DE_03';2.700000;0.036994;0.036727;0.011471
'Devel_DE_03';2.800000;0.041558;0.042881;0.011859
'Devel_DE_03';2.900000;0.052711;0.049696;0.014926
'Devel_DE_03';3.000000;0.060825;0.053056;0.014341
'Devel_DE_03';3.100000;0.070318;0.054870;0.014645
'Devel_DE_03';3.200000;0.075676;0.060200;0.015096
'Devel_DE_03';3.300000;0.083171;0.065020;0.013856
'Devel_DE_03';3.400000;0.093367;0.069941;0.010212
'Devel_DE_03';3.500000;0.107947;0.077061;0.008389
'Devel_DE_03';3.600000;0.122418;0.084208;0.006140
'Devel_DE_03';3.700000;0.133119;0.090155;0.006212
'Devel_DE_03';3.800000;0.146960;0.099212;0.007452
'Devel_DE_03';3.900000;0.157407;0.110913;0.013122
'Devel_DE_03';4.000000;0.167628;0.122809;0.013957
'Devel_DE_03';4.100000;0.173967;0.132767;0.019107
'Devel_DE_03';4.200000;0.175975;0.143225;0.021353
'Devel_DE_03';4.300000;0.176143;0.151550;0.024656
'Devel_DE_03';4.400000;0.177768;0.162390;0.028707
'Devel_DE_03';4.500000;0.180395;0.172555;0.031026
'Devel_DE_03';4.600000;0.185339;0.182695;0.033143
'Devel_DE_03';4.700000;0.189858;0.188092;0.028006
'Devel_DE_03';4.800000;0.192499;0.193105;0.025269
'Devel_DE_03';4.900000;0.191801;0.195588;0.024286
'Devel_DE_03';5.000000;0.191854;0.197659;0.022230
'Devel_DE_03';5.100000;0.190606;0.196500;0.015915
'Devel_DE_03';5.200000;0.192276;0.199338;0.011715
'Devel_DE_03';5.300000;0.194803;0.198119;0.010194
'Devel_DE_03';5.400000;0.198863;0.196381;0.012042
'Devel_DE_03';5.500000;0.200559;0.197695;0.014308
'Devel_DE_03';5.600000;0.200767;0.199766;0.011276
'Devel_DE_03';5.700000;0.198626;0.204425;0.005821
'Devel_DE_03';5.800000;0.200286;0.211733;0.001635
'Devel_DE_03';5.900000;0.201304;0.218668;0.003328
'Devel_DE_03';6.000000;0.204377;0.222973;0.007237
'Devel_DE_03';6.100000;0.208504;0.223367;0.011299
'Devel_DE_03';6.200000;0.210119;0.221517;0.015166
'Devel_DE_03';6.300000;0.211864;0.220659;0.014610
'Devel_DE_03';6.400000;0.213234;0.215666;0.013572
'Devel_DE_03';6.500000;0.214491;0.211995;0.010603
'Devel_DE_03';6.600000;0.213608;0.209952;0.009588
'Devel_DE_03';6.700000;0.213628;0.210591;0.009556
'Devel_DE_03';6.800000;0.213914;0.213485;0.009650
'Devel_DE_03';6.900000;0.211666;0.215722;0.009807
'Devel_DE_03';7.000000;0.210230;0.216929;0.013171
'Devel_DE_03';7.100000;0.210383;0.218171;0.014996
'Devel_DE_03';7.200000;0.209479;0.216702;0.013400
'Devel_DE_03';7.300000;0.206293;0.216256;0.009440
'Devel_DE_03';7.400000;0.205626;0.217116;0.001922
